NAMA SATUAN PENDIDIKAN;BID_IPS;BING_IPS;MAT_IPS;EKO;SOS;GEO;BID_IPA;BING_IPA;MAT_IPA;FIS;KIM;BIO;
SMA MAHATMA GADING INTERCULTURAL SCHOOL;67,27;87,82;46,14;55;64,06;64,06;60,00;92,67;44,58;63,90;63,90;58,33;
SMA MAHATMA GANDHI SCHOOL;77,08;84,92;58,08;71,50;69,81;72,56;81,13;88,44;60,63;56,25;64,29;66,90;
SMA MAKARIOS;78,22;80,44;51,94;70;70;70,16;80,67;86,67;40,63;55,00;43,00;57,00;
SMA MALAHAYATI;68,84;50,93;32,70;52,08;59,37;57,68;78,03;59,05;40,16;43,33;52,50;51,96;
SMA MARIE JOSEPH;77,28;75,36;54,80;78;76,50;58,25;83,69;86,15;54,62;71,93;68,75;54,50;
SMA MENTARI GRAND SURYA;78;92,67;54,58;65;72,56;72,56;87,73;92,80;60,50;85,00;78,47;70,96;
SMA MENTARI INTERCULTURAL SCHOOL JAKARTA;69,94;91,14;46,07;59,17;64,27;48,80;77,33;93,22;48,89;50,00;50,83;66,00;
SMA METHODIST;82,34;82,10;58,43;77,25;72,70;74,13;83,48;86,22;69,54;81,50;78,86;74,58;
SMA MUHAMMADIYAH 11;70,79;62,66;34,22;56,43;60,94;62;71,81;56,65;31,88;32,22;48,75;47,68;
SMA MUHAMMADIYAH 12;65,91;48,31;30,98;41,88;57,66;51,81;72,63;56,92;32,10;38,57;42,97;46,52;
SMA MUHAMMADIYAH 13;66,97;50,34;34,57;47,50;66,89;46,40;67,54;49,92;33,56;33,00;38,06;41,46;
SMA MUHAMMADIYAH 14;56;37,64;28,64;42,66;50,10;31;61,25;42,50;27,97;31,25;36,67;42,73;
SMA MUHAMMADIYAH 15;63,69;52,14;31,84;54,50;58,82;51,33;71,88;57,47;35,48;50,00;40,47;48,65;
SMA MUHAMMADIYAH 16;53,19;39,44;29,77;44,17;45,85;42;61,52;43,17;27,93;30,83;32,50;44,40;
SMA MUHAMMADIYAH 18;66,74;57,37;34,40;48,33;55,81;42,80;72,33;58,58;36,41;37,50;45,63;47,50;
SMA MUHAMMADIYAH 2;64,60;47,64;32,45;56,88;56,31;52,57;67,20;46,80;32,29;40,00;40,11;47,08;
SMA MUHAMMADIYAH 23;65,33;50,74;33,89;53,33;56,89;55,53;69,94;56,13;34,72;38,61;39,38;49,21;
SMA MUHAMMADIYAH 3;69,10;54,79;32,41;51,90;60,88;47,88;73,40;64,75;35,50;36,25;36,67;48,75;
SMA MUHAMMADIYAH 4;68,21;55,79;32,74;41,79;61,79;54,18;72,64;60,07;34,35;33,33;45,68;52,71;
SMA MUHAMMADIYAH 5;66,47;53,34;32,27;48,46;59,25;55,60;71,97;59,42;35,49;34,89;44,72;46,54;
SMA MUHAMMADIYAH I;64,36;48,56;30,25;52,50;56,32;53,27;67,56;50,69;33,32;32,19;46,25;43,72;
SMA MUTIARA BANGSA 3;76;79,55;45,80;56,88;64,67;63,11;76,82;81,88;51,62;45,00;58,44;62,50;
SMA NAHDLATUL WATHAN;52;37,39;31,41;37,50;48,27;42,15;65,30;47,60;31,13;30,63;40,00;45,00;
SMA NARADA;81,56;88,67;70;84,17;75;79,57;81,38;92,15;74,42;76,88;78,75;78,57;
SMA NATIONALHIGH JAKARTA SCHOOL;72;90;60;61,67;70,92;70,92;64,00;96,00;52,50;52,50;66,25;66,25;
SMA NEGERI  39;83,69;81,24;65,30;86,30;74,47;75,64;85,56;85,35;70,87;90,11;75,37;73,28;
SMA NEGERI  58;83,06;74,07;61,16;80,99;76,53;79,30;84,99;78,97;57,92;55,29;68,35;72,46;
SMA NEGERI  6;82,91;84,70;57,01;79,57;75,48;73,48;83,87;85,10;55,62;59,67;55,78;67,78;
SMA NEGERI  88;78,99;69,91;46,73;61,63;71,46;75,38;80,87;71,55;48,06;52,14;55,83;68,24;
SMA NEGERI  98;80,93;71,82;51,56;72,90;72,24;69,97;83,71;82,22;59,51;58,01;63,93;67,63;
SMA NEGERI  99;85,81;81,74;60,54;76,98;79,77;72,48;86,74;84,11;60,93;63,36;61,38;76,09;
SMA NEGERI 1;84,28;82,08;56,92;73,77;74,64;72,31;86,15;84,14;59,34;65,64;67,50;65,33;
SMA NEGERI 10;76,11;60,34;37,21;52,50;69,17;59,16;79,24;62,54;38,24;41,25;49,58;53,53;
SMA NEGERI 100;78,19;68,09;40,49;68,89;70,29;69,04;78,61;69,43;40,81;42,00;53,65;56,79;
SMA NEGERI 101;77,75;67,03;42,79;64,50;70,63;66,08;80,24;72,16;45,85;45,89;53,81;65,38;
SMA NEGERI 102;77,52;60,17;41,31;58,33;68,49;70,18;79,45;64,90;46,66;41,89;59,21;56,52;
SMA NEGERI 103;83,43;78,37;58,36;80,96;77,33;75,09;85,74;81,81;63,36;58,81;73,53;75,95;
SMA NEGERI 104;79,51;70,25;47,17;64,77;68,67;66,84;83,01;76,21;49,50;47,50;54,07;64,78;
SMA NEGERI 105;82,59;73,11;58,45;79,75;76,73;76,87;83,39;76,67;58,92;56,97;67,44;64,90;
SMA NEGERI 106;79,87;70,67;46,75;74,26;71,62;68,86;81,11;73,41;49,84;60,91;61,67;68,63;
SMA NEGERI 107;77,99;64,11;45,70;69,06;73,25;66,81;79,46;64,98;42,71;43,07;54,75;56,17;
SMA NEGERI 108;77,16;60,38;40,40;55;69,29;61,09;79,52;63,00;40,58;46,76;52,69;52,81;
SMA NEGERI 109;83,07;75,46;54,44;70,12;77,46;73,83;85,00;78,18;59,19;67,70;58,25;69,32;
SMA NEGERI 11;80,33;67,41;42,94;65,48;72,39;63,20;82,69;68,89;43,98;47,71;69,50;63,02;
SMA NEGERI 110;76,82;60,30;42,09;64,47;67,15;67,12;79,83;65,10;47,75;59,00;59,52;58,95;
SMA NEGERI 111;76,04;59,24;40,52;69,75;68,95;67,43;77,22;59,03;42,71;57,14;55,00;56,00;
SMA NEGERI 112;82,86;78,40;60,12;78,82;76,54;78,18;84,75;80,93;59,63;70,56;66,12;66,77;
SMA NEGERI 113;81,68;71,94;50,16;74,86;73,79;76,87;83,78;76,02;53,45;62,92;61,97;74,32;
SMA NEGERI 114;74,63;57,46;37,30;56,45;63,63;63,15;75,83;57,66;39,43;39,38;46,97;55,80;
SMA NEGERI 115;72,54;53,73;36,29;58,80;63,54;54,32;74,76;55,73;39,76;41,43;45,76;51,49;
SMA NEGERI 12;86,67;82,86;64,72;79,28;80,78;80,29;85,76;84,92;63,60;68,79;75,21;71,40;
SMA NEGERI 13;83,34;79,52;64,48;74,28;76,97;76,77;85,92;84,90;65,76;64,77;73,40;75,48;
SMA NEGERI 14;86,68;84,76;65,39;81,62;78,41;79,40;86,93;87,59;71,03;64,92;75,97;77,12;
SMA NEGERI 15;73,70;61,43;37,48;60,36;68,11;60,26;76,54;61,96;39,67;36,58;52,06;48,94;
SMA NEGERI 16;81,05;74,46;52,98;68,20;70,48;78,44;83,39;77,29;50,33;53,26;54,23;73,03;
SMA NEGERI 17;77,03;58,95;37,57;64,69;71,60;60,78;78,76;59,57;42,80;43,78;50,34;57,30;
SMA NEGERI 18;76,19;60,31;37,18;60,83;65,94;66,71;76,20;62,31;40,35;43,57;53,33;55,94;
SMA NEGERI 19;82,24;78,83;56,37;81,35;72,63;67,83;82,39;81,89;62,19;59,17;69,35;58,31;
SMA NEGERI 2;86,81;87,37;76,09;83,24;79,31;79,60;87,65;89,15;78,31;85,00;85,50;73,26;
SMA NEGERI 20;77,96;64,71;42,10;63,40;65,71;63,54;80,61;65,68;40,76;40,31;46,72;49,73;
SMA NEGERI 21;85,58;85,86;68,78;83,43;76,26;77,55;86,13;88,57;70,07;77,20;74,88;76,81;
SMA NEGERI 22;78,51;70,59;46,39;64,03;71,58;71,22;79,79;71,89;47,29;52,22;52,88;59,89;
SMA NEGERI 23;80,20;67,36;46,27;75,49;72,57;69,45;82,59;75,31;52,08;62,00;64,33;64,19;
SMA NEGERI 24;79,65;73,57;40,05;62,79;65,29;55;79,87;71,72;44,31;39,79;65,00;54,08;
SMA NEGERI 25;78,12;65,21;42,91;59;68,74;66,35;79,97;66,86;42,95;48,97;52,50;57,13;
SMA NEGERI 26;84,54;86,85;61,34;86,50;78,65;76,08;85,94;87,87;64,86;60,79;77,05;71,75;
SMA NEGERI 27;79,40;70,72;49,36;73,02;72,45;67,91;82,30;72,04;48,23;46,35;60,88;63,63;
SMA NEGERI 28;87,49;89,77;69,04;85,67;82,63;78,33;87,82;90,70;76,47;84,18;86,30;81,17;
SMA NEGERI 29;83,64;78,36;52,43;73,80;77,30;78,92;84,18;81,82;51,14;59,69;67,28;60,48;
SMA NEGERI 3;80,55;78,99;46,72;69,38;70,71;68,95;83,50;84,65;54,86;52,14;67,34;65,20;
SMA NEGERI 30;78,60;72,96;53,05;59,77;69,54;68,74;83,79;79,16;52,77;50,22;52,50;60,34;
SMA NEGERI 31;81,66;80,76;50,64;71,01;75,64;72,85;84,91;82,88;55,14;62,20;62,91;66,61;
SMA NEGERI 32;79,55;67,90;44,42;66,06;70,38;71,53;82,44;71,26;47,34;52,67;50,00;63,29;
SMA NEGERI 33;86,90;82,06;59,86;79,85;82,70;74,94;86,46;83,30;59,10;65,00;74,76;78,27;
SMA NEGERI 34;87,87;89,85;76,46;88,10;80;82,67;89,44;90,02;77,05;82,43;83,10;80,36;
SMA NEGERI 35;80,74;70,30;51,34;77,23;75,27;70,54;84,06;78,60;55,32;67,21;67,08;63,29;
SMA NEGERI 36;76,11;71,61;43,47;63,21;64,14;65,29;80,12;74,74;44,54;48,36;62,78;61,00;
SMA NEGERI 37;80,92;73,35;43,15;74,31;74,57;66,56;83,73;76,77;49,14;65,09;68,33;62,93;
SMA NEGERI 38;86,17;82,92;64,27;77,22;80,08;76;85,60;87,18;66,37;70,24;73,42;75,36;
SMA NEGERI 4;79,61;74,31;44,03;60;73,31;63,86;80,69;75,76;46,14;50,38;59,89;60,74;
SMA NEGERI 40;75,93;62,04;41,13;58,64;67,78;67;78,33;65,45;43,43;47,75;56,43;51,47;
SMA NEGERI 41;75,59;56,72;36,69;57,70;65,48;59,73;77,49;55,47;36,08;34,77;46,55;51,59;
SMA NEGERI 42;80,48;78,70;46,39;70,91;74,81;76,21;81,82;79,07;50,21;61,99;59,38;65,95;
SMA NEGERI 43;79,49;69;43,96;68,33;70,31;68,21;80,87;75,15;46,88;49,20;56,48;60,33;
SMA NEGERI 44;82,09;78,46;49,38;67,63;71,70;75,51;83,89;79,74;54,51;52,13;65,19;72,76;
SMA NEGERI 45;76,74;65,69;41,49;62,19;66,63;64,86;78,62;66,99;41,38;47,54;60,00;52,15;
SMA NEGERI 46;81,33;71,06;42,23;67,10;71,65;68,94;81,85;71,68;44,84;46,42;57,12;58,85;
SMA NEGERI 47;84,86;85,62;66,87;83,36;75,85;80,21;87,30;86,85;73,78;74,72;75,09;77,90;
SMA NEGERI 48;87,01;86,45;68,64;86,50;82;83,47;87,83;87,77;71,13;80,27;75,98;76,53;
SMA NEGERI 49;84,61;79,39;57,78;80,50;75,84;76,81;86,10;82,65;60,85;66,02;66,11;69,11;
SMA NEGERI 5;79,14;70,72;45,10;67,71;71,20;65,79;83,62;74,64;48,37;60,00;59,81;63,63;
SMA NEGERI 50;82,11;74,25;47,27;74,24;74,11;69,60;82,02;73,05;45,05;42,93;55,15;66,25;
SMA NEGERI 51;79,03;64,14;41,47;61,96;71,01;65,27;81,38;70,52;50,07;50,08;62,75;58,38;
SMA NEGERI 52;80,74;70,01;50,77;64,95;72,97;71,90;83,32;78,36;55,95;59,29;68,41;74,79;
SMA NEGERI 53;82,77;78,68;52,50;79,23;74,36;75,58;82,55;78,35;55,81;61,38;58,88;68,75;
SMA NEGERI 54;80,09;75,30;48,16;76,76;71,21;66,91;85,72;82,45;61,39;65,98;68,49;67,11;
SMA NEGERI 55;83,67;80,75;57,45;81,25;78,57;74,81;84,25;84,90;65,78;62,50;70,17;75,12;
SMA NEGERI 56;79,41;61,44;46;66,67;68,14;76,55;80,96;64,94;43,17;45,20;50,38;55,64;
SMA NEGERI 57;79,71;70,94;46,35;66,79;68,76;71,10;82,58;71,87;48,95;50,75;67,05;66,25;
SMA NEGERI 59;81,31;75,91;52,62;71,76;69,29;71,52;82,70;75,85;48,99;57,50;58,21;66,51;
SMA NEGERI 60;81,84;73,38;51,03;75,13;74,38;73,65;83,42;77,69;52,48;60,92;62,50;63,21;
SMA NEGERI 61;86,20;87,54;74,57;87,39;82,82;82,33;88,15;90,88;72,85;80,42;83,14;81,36;
SMA NEGERI 62;85,13;80,70;61,20;78,95;80,49;75;86,02;83,74;61,07;65,50;63,33;83,51;
SMA NEGERI 63;81,42;71,79;50,22;72,75;75,78;74,20;83,26;78,66;52,78;58,50;62,88;66,79;
SMA NEGERI 64;81,31;67,58;48,09;67,14;73,50;70,27;82,75;74,60;49,74;50,00;58,17;59,51;
SMA NEGERI 65;87,66;85,77;63,77;73,65;79,48;87,41;88,67;87,52;65,05;74,19;75,25;72,61;
SMA NEGERI 66;83,54;78,70;52,43;66,25;74,40;74,28;85,50;83,59;58,20;63,18;65,89;72,93;
SMA NEGERI 67;83,70;81,35;57,96;74,49;77,51;76,51;85,49;84,60;65,17;69,12;76,44;74,31;
SMA NEGERI 68;87,78;89,20;73,94;88,81;81;84,29;88,82;89,40;76,94;84,77;84,18;79,70;
SMA NEGERI 69;47,04;35,12;28,19;36,88;42,35;45,33;66,00;43,44;32,75;31,05;47,08;44,60;
SMA NEGERI 7;75,62;61,11;34,83;57,50;67,27;61,34;77,42;61,73;37,64;39,17;49,06;48,46;
SMA NEGERI 70;82,97;83,72;54,17;78,30;77,24;72,62;84,59;89,16;58,42;55,71;64,15;70,76;
SMA NEGERI 71;83,28;84,93;59,93;75,80;76,14;76,67;86,10;86,17;68,30;65,96;75,17;74,01;
SMA NEGERI 72;77,83;69,55;47,15;68,13;68,14;63,71;79,56;76,63;47,85;45,13;51,05;62,50;
SMA NEGERI 73;74,03;57,73;38,88;57,42;62,47;55,90;77,91;64,86;45,51;55,96;57,89;54,54;
SMA NEGERI 74;79,56;72,63;46,11;65,29;72,97;69,07;79,89;71,19;46,71;53,16;52,50;62,46;
SMA NEGERI 75;78,27;65,45;45,18;71,15;69,56;65,38;80,35;71,59;48,83;60,00;52,40;64,68;
SMA NEGERI 76;75,36;54,84;37,82;59,96;66,69;61,82;78,46;61,87;39,10;46,35;48,13;53,06;
SMA NEGERI 77;85,08;83,91;69,15;79,80;76,50;83,22;86,50;87,66;67,97;85,54;70,81;79,17;
SMA NEGERI 78;86,95;88,85;76,03;91,21;80,90;79,27;87,24;88,60;73,55;81,80;77,34;79,21;
SMA NEGERI 79;75,82;65,21;39,40;62,24;67,29;68,12;80,25;68,38;42,50;46,55;54,34;55,92;
SMA NEGERI 8;86,78;90,89;79,31;91,79;83,67;81,50;87,52;91,72;83,99;81,54;84,46;84,73;
SMA NEGERI 80;78,90;70,64;40,51;63,21;69,20;65,02;81,69;71,44;43,97;45,36;51,42;60,88;
SMA NEGERI 81;86,69;89,92;80,07;91,38;80;83,20;88,35;90,31;78,50;83,79;85,26;80,59;
SMA NEGERI 82;76,62;76,95;39,91;61,81;60,19;60,74;80,98;81,26;46,57;54,06;46,75;57,89;
SMA NEGERI 83;74,04;57,63;36,99;62,08;67,85;64,38;76,93;59,49;39,40;38,16;48,88;53,20;
SMA NEGERI 84;82,71;72,80;57,10;76,81;72,35;75,25;85,28;79,61;63,59;70,56;74,40;72,07;
SMA NEGERI 85;80,96;72,73;45,79;77,89;71,77;77,78;82,70;76,87;49,20;55,11;55,83;60,47;
SMA NEGERI 86;77,96;68,50;41,03;67,35;67,61;66,71;80,76;74,39;44,68;50,17;61,32;58,41;
SMA NEGERI 87;79,44;77,18;41,19;60;75,20;68,22;83,41;79,50;51,16;62,85;72,50;61,52;
SMA NEGERI 89;81,96;74,65;54,98;73,59;71,16;70,70;85,67;79,30;62,20;68,03;66,16;69,85;
SMA NEGERI 9;81,94;70,04;50,07;73,10;74,47;70,97;82,22;74,70;51,78;55,82;56,04;67,24;
SMA NEGERI 90;82,81;77,73;53,97;73,53;77,18;73,58;84,56;81,40;61,65;66,75;66,76;69,30;
SMA NEGERI 91;82,35;77,50;52,38;74,69;75,56;76,11;84,36;81,67;56,11;60,34;61,95;68,92;
SMA NEGERI 92;75,62;60,75;48,02;61,36;70,09;63,90;79,06;62,89;48,45;43,33;55,27;54,03;
SMA NEGERI 93;78,54;67,78;47,34;66,76;76,73;70,04;80,57;73,63;49,67;50,00;58,56;59,96;
SMA NEGERI 94;81,33;67,65;46,18;72,50;70,45;77,74;82,09;69,93;45,95;46,29;60,00;56,35;
SMA NEGERI 95;80,72;67,18;43,65;72,38;73,09;71,57;82,67;71,83;48,42;57,24;54,30;59,56;
SMA NEGERI 96;80,91;61,73;45,79;68,81;73,25;62,21;81,19;63,48;43,75;55,00;56,42;58,75;
SMA NEGERI 97;82,01;75,73;52,03;71,48;74,90;74,71;83,70;78,72;51,30;53,64;63,08;63,93;
SMA NEGERI RAGUNAN;61,64;50,21;35,29;50,64;55,40;50,64;61,76;52,53;34,26;49,00;49,00;47,43;
SMA NOTRE DAME;78,79;79,93;50,57;69,29;69,81;69,50;84,82;86,46;63,71;75,13;69,61;69,12;
SMA NURUL FALAH;52,13;39,88;30,23;39,46;45,88;61;59,55;43,50;29,69;42,61;32,08;38,68;
SMA NUSANTARA;53,81;38,95;27,74;42,46;49,33;42,46;60,32;40,21;31,58;42,93;42,93;39,61;
SMA PANGUDI LUHUR;72,67;74,83;40,31;50,83;67,67;62,82;79,91;81,07;40,00;56,50;43,93;52,81;
SMA PANGUDI RAHAYU;58,67;44,56;32,36;41,25;57,40;57,33;71,33;45,50;32,50;49,78;55,00;48,06;
SMA PASKALIS;81;70,78;40;65,83;64;60,44;75,17;57,17;38,96;38,75;40,00;47,50;
SMA PELANGI KASIH;77,38;87,08;63,27;67,50;72,44;66;84,15;92,54;77,93;70,94;75,00;72,75;
SMA PELITA HARAPAN KEMANG;51,67;87,33;38,33;43,75;40;38,67;60,25;88,50;44,06;35,83;50,00;55,00;
SMA PELITA II;74,27;77,87;53;82,50;59,17;67,33;81,10;87,23;55,81;61,25;72,50;71,75;
SMA PELITA IV;65,38;63,08;34,90;65;52,62;51,64;75,27;71,45;37,05;38,33;46,25;56,00;
SMA PELITA KASIH;77,85;78,60;53,88;65;66,71;63,75;83,44;84,11;70,69;68,06;57,50;58,13;
SMA PELITA TIGA NO.3;67,21;51,25;31,82;39;59,75;60;71,13;52,53;34,17;43,75;51,67;50,88;
SMA PERGURUAN ADVENT I;65,19;51,04;32,50;55;56,75;50;76,29;65,41;39,85;41,25;48,46;62,50;
SMA PERGURUAN ADVENT SALEMBA;73,66;65,66;34,02;59,69;65,05;61;81,36;82,40;49,40;57,00;60,00;56,07;
SMA PERGURUAN ADVENT XV;74,55;60,50;47,27;64,75;63,30;61;78,23;69,92;47,31;46,67;53,33;49,38;
SMA PERGURUAN CIKINI;69,71;67,07;34,70;58,75;58,27;58,40;70,92;60,69;33,56;36,67;36,67;46,25;
SMA PERGURUAN KSATRYA;69,35;49,87;34,16;59,58;60,21;54,10;74,86;56,23;35,64;36,67;43,96;48,53;
SMA PERGURUAN RAKYAT  2;67,97;50,50;33,91;50;65,35;57;77,41;60,10;38,35;47,50;48,85;50,30;
SMA PERGURUAN RAKYAT 1;68,36;53,32;33,93;41,25;62,81;57,14;73,45;55,27;36,29;32,86;51,09;52,29;
SMA PERGURUAN RAKYAT 3;68,49;52,38;34,06;55;57,02;50,94;74,14;53,64;34,15;43,13;41,73;53,70;
SMA PERMAI;80,81;80,61;51,10;76,92;74,08;62;85,06;87,80;68,77;80,43;81,67;75,90;
SMA PERMATA INDAH;68,04;58,71;46,15;58,75;61,45;55;82,56;76,40;60,10;69,27;64,23;51,25;
SMA PGRI 12;64,70;50,20;29,63;58,75;56,25;63;70,88;55,88;38,13;39,64;52,24;47,50;
SMA PGRI 24;62,82;51,69;30,58;47,50;56,45;51,71;67,28;47,22;34,93;33,13;41,25;43,58;
SMA PGRI 3;64,11;47;31,04;49,07;57,26;44,67;75,61;56,47;36,01;38,55;43,83;48,03;
SMA PGRI 4;63,93;49,32;34,61;48,61;57,10;53,50;71,21;48,79;35,95;37,78;39,61;47,03;
SMA PKP DKI JAKARTA;69,42;59,95;34,16;56,47;59,14;51,02;75,00;67,23;35,03;42,36;45,68;51,82;
SMA PROVIDENTIA;76,75;76,35;54,63;71,48;63,69;69,17;85,30;84,60;65,00;78,92;82,73;78,33;
SMA PSKD 1;75,17;65,17;40,83;62,50;66,89;58;74,46;66,62;40,58;45,63;56,43;43,33;
SMA PSKD 3;66;52;35;52,51;57;52,51;68,00;64,67;29,17;52,13;52,13;46,67;
SMA PSKD IV;67;60,56;33,61;50;63,78;49;74,40;64,93;35,50;39,38;46,00;55,42;
SMA PSKD MANDIRI;73;84,67;47,08;36,25;65,88;70;88,00;92,00;62,50;78,75;72,50;78,75;
SMA PUSAKA  1;67,78;53,49;34,46;51,83;58,42;60;73,09;58,45;35,82;36,92;40,71;49,07;
SMA PUSAKA ABADI;73;69,72;45,42;63,45;66,08;64,60;81,60;80,50;66,63;56,88;70,00;66,79;
SMA RAFFLES CHRISTIAN SCHOOL;73;91;53,44;57,50;68,74;68,74;62,91;91,82;48,41;44,00;60,00;76,25;
SMA REGINA PACIS;80,26;81,39;50,05;71,17;74,40;70,25;85,66;87,23;67,45;68,53;69,11;68,44;
SMA SAID NAUM;60,56;46,31;28,46;46,50;52,15;41,75;64,31;49,31;29,62;38,75;39,17;46,61;
SMA SAINT JOHNS SCHOOL;94;100;75;88,75;86;88,75;88,67;93,33;65,00;72,50;80,00;72,50;
SMA SAINT NICHOLAS;77,53;85,88;61,62;72,50;69,73;73,78;81,73;93,09;73,18;71,00;77,50;69,33;
SMA SAINT PETER;78,33;87,67;45,42;60,63;65,14;72;84,12;92,94;63,24;67,92;100,00;61,75;
SMA SAINT PETER SCHOOL;70;84,50;46,88;58,75;65,03;65,03;70,67;92,67;48,33;67,29;60,00;52,50;
SMA SAMPOERNA;86;98;53,75;60;74,44;74,44;84,58;86,76;63,46;67,81;66,92;74,22;
SMA SAN MARINO;74,87;74,56;48,46;83,33;64,50;60,20;85,75;87,00;65,83;69,08;65,00;69,38;
SMA SANG TIMUR;80,71;82,66;57,15;79,44;75,30;71,40;82,92;86,85;71,07;82,79;76,46;66,98;
SMA SANTA MARIA DELLA STRADA;69,45;67,17;46,29;57,50;67,36;49,33;78,00;77,20;49,10;41,25;42,50;61,58;
SMA SANTA THERESIA;83,53;86,78;68,05;86,76;81,58;72,89;85,52;88,88;65,76;75,00;82,16;84,94;
SMA SANTA URSULA;87,63;91,53;84,41;90,15;80,40;84;88,02;93,68;87,66;90,58;86,34;91,25;
SMA SANTIKA;52,47;35,76;31,62;43,05;52,35;43,05;62,52;49,33;31,76;31,07;26,25;41,94;
SMA SANTO ANTONIUS;73;62,65;37,01;57,19;69,07;60;77,73;69,69;40,39;39,44;50,83;46,94;
SMA SANTO KRISTOFORUS I;78,68;76,71;50,59;75;68,93;69,77;84,24;85,94;66,47;71,82;70,91;65,83;
SMA SANTO KRISTOFORUS II;76,48;78,40;50,25;70,56;64,33;61,71;81,51;86,49;60,58;68,41;57,69;67,50;
SMA SANTO LEO;69,60;60,80;43,88;77,50;64;59,91;79,09;72,73;40,45;45,00;48,13;53,75;
SMA SANTO LEO II;81,04;77,44;62,95;77,69;70,56;69,20;86,10;83,70;62,13;69,55;81,00;86,25;
SMA SANTO LUKAS I;71,13;60,25;33,75;52,50;57;59;76,82;67,53;33,24;39,17;47,50;61,07;
SMA SANTO PAULUS;65;54,40;33;55;60;42;78,00;71,50;46,88;50,00;67,50;59,00;
SMA SANTO YAKOBUS;81,75;82,38;61,74;77;75,11;80,24;85,31;87,49;72,05;78,78;74,38;86,18;
SMA SANTO YOSEPH;80,69;72,50;42,79;73,54;70,88;70,67;78,44;74,00;48,75;54,71;57,75;57,61;
SMA SERUNI DON BOSCO;70,92;70,62;36,35;60;63,20;66;78,44;89,00;50,42;56,56;60,00;74,69;
SMA SEVILLA;74;89;63,75;90;58;75,19;77,79;91,16;60,13;85,83;80,00;64,42;
SMA SINAR DHARMA;83,57;80,86;62,68;62,50;58;78,80;85,00;84,56;68,33;79,00;76,00;85,00;
SMA SIS KELAPA GADING;62,67;81,33;52,50;53,75;52;62,42;61,43;88,14;50,54;45,83;62,50;52,86;
SMA SIS PIK;69;89,33;54,58;56,25;67,29;67,29;72,00;94,50;50,63;57,50;67,50;47,50;
SMA SPRINGFIELD;75,18;89,18;68,68;67,50;75,14;75,14;78,55;93,09;76,36;65,83;83,75;78,33;
SMA ST. BELLARMINUS;76,11;76,32;44,87;66,25;70;64;81,68;87,79;46,97;57,50;56,56;71,43;
SMA STELLA MARIS;72,64;63,73;35,91;57;65,85;51,50;74,60;66,00;42,75;65,00;51,88;49,38;
SMA SULUH;77,74;62,54;49,34;67,95;72,37;68,73;81,07;65,23;47,10;55,19;45,00;62,07;
SMA SUMBANGSIH;70,93;68,39;37,29;60,74;64;58,40;75,05;71,10;41,61;51,50;40,54;57,22;
SMA SUMPAH PEMUDA;62,43;44,40;30,63;54,69;55,36;49;71,25;49,86;35,62;41,11;47,50;47,19;
SMA SUNDA KELAPA;63,12;50,06;34,04;42,50;54,12;45,33;69,44;51,60;32,20;37,50;43,89;46,83;
SMA TAMAN MADYA 1;63,20;45,20;33;46,34;54,40;49,83;68,69;48,80;33,07;40,50;47,00;58,00;
SMA TAMAN MADYA 5;46;38,11;27,50;38,42;37,51;37,51;62,57;45,43;37,98;35,71;45,43;45,43;
SMA TANJUNG PRIOK;61,11;43,76;30,24;40,23;56,80;42,78;59,75;47,58;31,35;33,50;35,63;39,50;
SMA TARAKANITA 1;80,04;81,30;50,49;69,29;74,95;69,09;84,88;84,53;58,09;63,86;71,67;71,91;
SMA TARAKANITA 2;77,97;79,89;56,78;72,26;70;68,08;82,38;87,31;66,49;65,68;79,11;80,63;
SMA TARSISIUS I;76,65;74,79;45,17;56;70,73;66,22;82,36;87,27;52,84;44,69;62,92;59,06;
SMA TARSISIUS II;72,69;71,54;45,29;73,61;56,75;69,44;76,58;74,42;48,44;50,56;57,50;57,50;
SMA TELADAN  I;66,32;48,19;37,42;61;56,27;63,50;74,35;52,09;36,09;35,00;39,00;47,50;
SMA TRAMPIL II;54,25;43,50;26,56;41,77;41,77;42,75;64,50;40,38;30,78;43,68;43,68;39,06;
SMA TRI RATNA;79,60;69,50;45,63;73,57;74;71;83,10;82,21;61,55;54,79;73,13;64,42;
SMA TRIGUNA;71,80;57,30;33,50;52,81;62,94;59,73;73,00;56,53;34,41;39,17;40,94;45,00;
SMA TRISOKO;58,95;48,37;33,09;48,17;53,76;49,38;68,82;54,47;33,24;37,50;42,12;51,07;
SMA TUNAS GADING;62,71;61,18;38,24;56,56;53;41,71;81,08;80,92;45,77;52,00;42,50;63,33;
SMA TUNAS HARAPAN;59,81;40,94;30,09;44,17;48,93;48,55;66,97;45,79;32,44;30,00;38,25;47,60;
SMA TUNAS MARKATIN;64,36;44;32,59;49,20;55,86;49,20;67,73;45,73;31,67;48,41;48,41;48,50;
SMA TUNAS MUDA;79,18;90,59;62,35;70,36;66,38;65,33;81,46;91,38;56,35;63,04;47,50;71,82;
SMA TZU CHI;79,26;92,21;65,13;63,29;74,98;74,98;73,00;89,50;53,13;69,69;69,69;63,13;
SMA UNIVERSAL;75,43;84,43;63,04;71,07;69,33;71,50;83,59;91,72;76,81;76,25;79,17;80,83;
SMA USWATUN HASANAH;71,88;52,88;35,39;60;66,50;55,33;69,66;52,17;35,14;35,74;36,07;48,86;
